
"2001 census - theme tables"
"ONS Crown Copyright Reserved [from Nomis on 26 December 2020]"
"Analysis   :","standard"
"Date       :","2001"

"row","Essex","Cell"
716,199,"T53:716 (OCCUPATION - 7. Sales and Customer Service Occupations : Muslim )"
717,49,"T53:717 (OCCUPATION - 7. Sales and Customer Service Occupations : Sikh )"
718,132,"T53:718 (OCCUPATION - 7. Sales and Customer Service Occupations : Any other religion )"
719,7863,"T53:719 (OCCUPATION - 7. Sales and Customer Service Occupations : No religion )"
720,2867,"T53:720 (OCCUPATION - 7. Sales and Customer Service Occupations : Religion not stated )"
721,47357,"T53:721 (OCCUPATION - 8. Process, Plant and Machine Operatives : ALL PEOPLE )"
722,34306,"T53:722 (OCCUPATION - 8. Process, Plant and Machine Operatives : Christian )"
723,76,"T53:723 (OCCUPATION - 8. Process, Plant and Machine Operatives : Buddhist )"
724,61,"T53:724 (OCCUPATION - 8. Process, Plant and Machine Operatives : Hindu )"
725,165,"T53:725 (OCCUPATION - 8. Process, Plant and Machine Operatives : Jewish )"
726,193,"T53:726 (OCCUPATION - 8. Process, Plant and Machine Operatives : Muslim )"
727,38,"T53:727 (OCCUPATION - 8. Process, Plant and Machine Operatives : Sikh )"
728,118,"T53:728 (OCCUPATION - 8. Process, Plant and Machine Operatives : Any other religion )"
729,9106,"T53:729 (OCCUPATION - 8. Process, Plant and Machine Operatives : No religion )"
730,3294,"T53:730 (OCCUPATION - 8. Process, Plant and Machine Operatives : Religion not stated )"
731,66721,"T53:731 (OCCUPATION - 9. Elementary Occupations : ALL PEOPLE )"
732,48869,"T53:732 (OCCUPATION - 9. Elementary Occupations : Christian )"
733,161,"T53:733 (OCCUPATION - 9. Elementary Occupations : Buddhist )"
734,152,"T53:734 (OCCUPATION - 9. Elementary Occupations : Hindu )"
735,122,"T53:735 (OCCUPATION - 9. Elementary Occupations : Jewish )"
736,387,"T53:736 (OCCUPATION - 9. Elementary Occupations : Muslim )"
737,19,"T53:737 (OCCUPATION - 9. Elementary Occupations : Sikh )"
738,185,"T53:738 (OCCUPATION - 9. Elementary Occupations : Any other religion )"
739,12223,"T53:739 (OCCUPATION - 9. Elementary Occupations : No religion )"
740,4603,"T53:740 (OCCUPATION - 9. Elementary Occupations : Religion not stated )"
741,320368,"T53:741 (OCCUPATION - Not currently working : ALL PEOPLE )"
742,248871,"T53:742 (OCCUPATION - Not currently working : Christian )"
743,852,"T53:743 (OCCUPATION - Not currently working : Buddhist )"
744,1163,"T53:744 (OCCUPATION - Not currently working : Hindu )"
745,1616,"T53:745 (OCCUPATION - Not currently working : Jewish )"
746,2343,"T53:746 (OCCUPATION - Not currently working : Muslim )"
747,311,"T53:747 (OCCUPATION - Not currently working : Sikh )"
748,1103,"T53:748 (OCCUPATION - Not currently working : Any other religion )"
749,41146,"T53:749 (OCCUPATION - Not currently working : No religion )"
750,22963,"T53:750 (OCCUPATION - Not currently working : Religion not stated )"
751,365278,"T53:751 (OCCUPATION - Not aged 16 to 74 : ALL PEOPLE )"
752,267334,"T53:752 (OCCUPATION - Not aged 16 to 74 : Christian )"
753,328,"T53:753 (OCCUPATION - Not aged 16 to 74 : Buddhist )"
754,1105,"T53:754 (OCCUPATION - Not aged 16 to 74 : Hindu )"
755,1394,"T53:755 (OCCUPATION - Not aged 16 to 74 : Jewish )"
756,2142,"T53:756 (OCCUPATION - Not aged 16 to 74 : Muslim )"
757,322,"T53:757 (OCCUPATION - Not aged 16 to 74 : Sikh )"
758,409,"T53:758 (OCCUPATION - Not aged 16 to 74 : Any other religion )"
759,58926,"T53:759 (OCCUPATION - Not aged 16 to 74 : No religion )"
760,33318,"T53:760 (OCCUPATION - Not aged 16 to 74 : Religion not stated )"
761,9260,"T53:761 (INDUSTRY - A - Agriculture, hunting and forestry : ALL PEOPLE )"
762,7080,"T53:762 (INDUSTRY - A - Agriculture, hunting and forestry : Christian )"
763,9,"T53:763 (INDUSTRY - A - Agriculture, hunting and forestry : Buddhist )"
764,7,"T53:764 (INDUSTRY - A - Agriculture, hunting and forestry : Hindu )"
765,9,"T53:765 (INDUSTRY - A - Agriculture, hunting and forestry : Jewish )"
766,47,"T53:766 (INDUSTRY - A - Agriculture, hunting and forestry : Muslim )"
767,3,"T53:767 (INDUSTRY - A - Agriculture, hunting and forestry : Sikh )"
768,30,"T53:768 (INDUSTRY - A - Agriculture, hunting and forestry : Any other religion )"
769,1454,"T53:769 (INDUSTRY - A - Agriculture, hunting and forestry : No religion )"
770,621,"T53:770 (INDUSTRY - A - Agriculture, hunting and forestry : Religion not stated )"
771,132,"T53:771 (INDUSTRY - B - Fishing : ALL PEOPLE )"
772,96,"T53:772 (INDUSTRY - B - Fishing : Christian )"
773,0,"T53:773 (INDUSTRY - B - Fishing : Buddhist )"
774,0,"T53:774 (INDUSTRY - B - Fishing : Hindu )"
775,0,"T53:775 (INDUSTRY - B - Fishing : Jewish )"
776,0,"T53:776 (INDUSTRY - B - Fishing : Muslim )"
777,0,"T53:777 (INDUSTRY - B - Fishing : Sikh )"
778,0,"T53:778 (INDUSTRY - B - Fishing : Any other religion )"
779,32,"T53:779 (INDUSTRY - B - Fishing : No religion )"
780,4,"T53:780 (INDUSTRY - B - Fishing : Religion not stated )"
781,765,"T53:781 (INDUSTRY - C - Mining and quarrying : ALL PEOPLE )"
782,545,"T53:782 (INDUSTRY - C - Mining and quarrying : Christian )"
783,3,"T53:783 (INDUSTRY - C - Mining and quarrying : Buddhist )"
784,0,"T53:784 (INDUSTRY - C - Mining and quarrying : Hindu )"
785,3,"T53:785 (INDUSTRY - C - Mining and quarrying : Jewish )"
786,3,"T53:786 (INDUSTRY - C - Mining and quarrying : Muslim )"
787,0,"T53:787 (INDUSTRY - C - Mining and quarrying : Sikh )"
788,3,"T53:788 (INDUSTRY - C - Mining and quarrying : Any other religion )"
789,152,"T53:789 (INDUSTRY - C - Mining and quarrying : No religion )"
790,56,"T53:790 (INDUSTRY - C - Mining and quarrying : Religion not stated )"
791,83781,"T53:791 (INDUSTRY - D - Manufacturing : ALL PEOPLE )"
792,60109,"T53:792 (INDUSTRY - D - Manufacturing : Christian )"
793,149,"T53:793 (INDUSTRY - D - Manufacturing : Buddhist )"
794,212,"T53:794 (INDUSTRY - D - Manufacturing : Hindu )"
795,333,"T53:795 (INDUSTRY - D - Manufacturing : Jewish )"
796,366,"T53:796 (INDUSTRY - D - Manufacturing : Muslim )"
797,94,"T53:797 (INDUSTRY - D - Manufacturing : Sikh )"
798,255,"T53:798 (INDUSTRY - D - Manufacturing : Any other religion )"
799,16479,"T53:799 (INDUSTRY - D - Manufacturing : No religion )"
800,5784,"T53:800 (INDUSTRY - D - Manufacturing : Religion not stated )"
801,3771,"T53:801 (INDUSTRY - E - Electricity, gas and water supply : ALL PEOPLE )"
802,2767,"T53:802 (INDUSTRY - E - Electricity, gas and water supply : Christian )"
803,11,"T53:803 (INDUSTRY - E - Electricity, gas and water supply : Buddhist )"
804,7,"T53:804 (INDUSTRY - E - Electricity, gas and water supply : Hindu )"
805,8,"T53:805 (INDUSTRY - E - Electricity, gas and water supply : Jewish )"
806,10,"T53:806 (INDUSTRY - E - Electricity, gas and water supply : Muslim )"
807,3,"T53:807 (INDUSTRY - E - Electricity, gas and water supply : Sikh )"
808,10,"T53:808 (INDUSTRY - E - Electricity, gas and water supply : Any other religion )"
809,715,"T53:809 (INDUSTRY - E - Electricity, gas and water supply : No religion )"
810,240,"T53:810 (INDUSTRY - E - Electricity, gas and water supply : Religion not stated )"
811,54382,"T53:811 (INDUSTRY - F - Construction : ALL PEOPLE )"
812,39323,"T53:812 (INDUSTRY - F - Construction : Christian )"
813,60,"T53:813 (INDUSTRY - F - Construction : Buddhist )"
814,43,"T53:814 (INDUSTRY - F - Construction : Hindu )"
815,116,"T53:815 (INDUSTRY - F - Construction : Jewish )"
816,94,"T53:816 (INDUSTRY - F - Construction : Muslim )"
817,28,"T53:817 (INDUSTRY - F - Construction : Sikh )"
818,98,"T53:818 (INDUSTRY - F - Construction : Any other religion )"
819,10928,"T53:819 (INDUSTRY - F - Construction : No religion )"
820,3692,"T53:820 (INDUSTRY - F - Construction : Religion not stated )"
821,106150,"T53:821 (INDUSTRY - G - Wholesale and retail trade : ALL PEOPLE )"
822,77573,"T53:822 (INDUSTRY - G - Wholesale and retail trade : Christian )"
823,171,"T53:823 (INDUSTRY - G - Wholesale and retail trade : Buddhist )"
824,633,"T53:824 (INDUSTRY - G - Wholesale and retail trade : Hindu )"
825,682,"T53:825 (INDUSTRY - G - Wholesale and retail trade : Jewish )"
826,512,"T53:826 (INDUSTRY - G - Wholesale and retail trade : Muslim )"
827,156,"T53:827 (INDUSTRY - G - Wholesale and retail trade : Sikh )"
828,279,"T53:828 (INDUSTRY - G - Wholesale and retail trade : Any other religion )"
829,19253,"T53:829 (INDUSTRY - G - Wholesale and retail trade : No religion )"
830,6891,"T53:830 (INDUSTRY - G - Wholesale and retail trade : Religion not stated )"
831,23271,"T53:831 (INDUSTRY - H - Hotels and catering : ALL PEOPLE )"
832,16113,"T53:832 (INDUSTRY - H - Hotels and catering : Christian )"
833,224,"T53:833 (INDUSTRY - H - Hotels and catering : Buddhist )"
834,63,"T53:834 (INDUSTRY - H - Hotels and catering : Hindu )"
835,78,"T53:835 (INDUSTRY - H - Hotels and catering : Jewish )"
836,508,"T53:836 (INDUSTRY - H - Hotels and catering : Muslim )"
837,40,"T53:837 (INDUSTRY - H - Hotels and catering : Sikh )"
838,72,"T53:838 (INDUSTRY - H - Hotels and catering : Any other religion )"
839,4699,"T53:839 (INDUSTRY - H - Hotels and catering : No religion )"
840,1474,"T53:840 (INDUSTRY - H - Hotels and catering : Religion not stated )"
841,46091,"T53:841 (INDUSTRY - I - Transport, storage and communications : ALL PEOPLE )"
842,33302,"T53:842 (INDUSTRY - I - Transport, storage and communications : Christian )"
843,77,"T53:843 (INDUSTRY - I - Transport, storage and communications : Buddhist )"
844,151,"T53:844 (INDUSTRY - I - Transport, storage and communications : Hindu )"
845,227,"T53:845 (INDUSTRY - I - Transport, storage and communications : Jewish )"
846,202,"T53:846 (INDUSTRY - I - Transport, storage and communications : Muslim )"
847,38,"T53:847 (INDUSTRY - I - Transport, storage and communications : Sikh )"
848,127,"T53:848 (INDUSTRY - I - Transport, storage and communications : Any other religion )"
849,8854,"T53:849 (INDUSTRY - I - Transport, storage and communications : No religion )"
850,3113,"T53:850 (INDUSTRY - I - Transport, storage and communications : Religion not stated )"
851,55283,"T53:851 (INDUSTRY - J - Financial intermediation : ALL PEOPLE )"
852,40695,"T53:852 (INDUSTRY - J - Financial intermediation : Christian )"
853,81,"T53:853 (INDUSTRY - J - Financial intermediation : Buddhist )"
854,173,"T53:854 (INDUSTRY - J - Financial intermediation : Hindu )"
855,299,"T53:855 (INDUSTRY - J - Financial intermediation : Jewish )"
856,137,"T53:856 (INDUSTRY - J - Financial intermediation : Muslim )"
857,59,"T53:857 (INDUSTRY - J - Financial intermediation : Sikh )"
858,114,"T53:858 (INDUSTRY - J - Financial intermediation : Any other religion )"
859,10385,"T53:859 (INDUSTRY - J - Financial intermediation : No religion )"
860,3340,"T53:860 (INDUSTRY - J - Financial intermediation : Religion not stated )"
861,80485,"T53:861 (INDUSTRY - K - Real estate, renting and business activities : ALL PEOPLE )"
862,56763,"T53:862 (INDUSTRY - K - Real estate, renting and business activities : Christian )"
863,171,"T53:863 (INDUSTRY - K - Real estate, renting and business activities : Buddhist )"
864,436,"T53:864 (INDUSTRY - K - Real estate, renting and business activities : Hindu )"
865,752,"T53:865 (INDUSTRY - K - Real estate, renting and business activities : Jewish )"
866,371,"T53:866 (INDUSTRY - K - Real estate, renting and business activities : Muslim )"
867,115,"T53:867 (INDUSTRY - K - Real estate, renting and business activities : Sikh )"
868,285,"T53:868 (INDUSTRY - K - Real estate, renting and business activities : Any other religion )"
869,16060,"T53:869 (INDUSTRY - K - Real estate, renting and business activities : No religion )"
870,5532,"T53:870 (INDUSTRY - K - Real estate, renting and business activities : Religion not stated )"
871,30772,"T53:871 (INDUSTRY - L - Public administration and defence, social security : ALL PEOPLE )"
872,22907,"T53:872 (INDUSTRY - L - Public administration and defence, social security : Christian )"
873,73,"T53:873 (INDUSTRY - L - Public administration and defence, social security : Buddhist )"
874,157,"T53:874 (INDUSTRY - L - Public administration and defence, social security : Hindu )"
875,65,"T53:875 (INDUSTRY - L - Public administration and defence, social security : Jewish )"
876,88,"T53:876 (INDUSTRY - L - Public administration and defence, social security : Muslim )"
877,26,"T53:877 (INDUSTRY - L - Public administration and defence, social security : Sikh )"
878,109,"T53:878 (INDUSTRY - L - Public administration and defence, social security : Any other religion )"
879,5404,"T53:879 (INDUSTRY - L - Public administration and defence, social security : No religion )"
880,1943,"T53:880 (INDUSTRY - L - Public administration and defence, social security : Religion not stated )"
881,43335,"T53:881 (INDUSTRY - M - Education : ALL PEOPLE )"
882,32655,"T53:882 (INDUSTRY - M - Education : Christian )"
883,104,"T53:883 (INDUSTRY - M - Education : Buddhist )"
884,111,"T53:884 (INDUSTRY - M - Education : Hindu )"
885,175,"T53:885 (INDUSTRY - M - Education : Jewish )"
886,158,"T53:886 (INDUSTRY - M - Education : Muslim )"
887,33,"T53:887 (INDUSTRY - M - Education : Sikh )"
888,170,"T53:888 (INDUSTRY - M - Education : Any other religion )"
889,7265,"T53:889 (INDUSTRY - M - Education : No religion )"
890,2664,"T53:890 (INDUSTRY - M - Education : Religion not stated )"
891,59245,"T53:891 (INDUSTRY - N - Health and social work : ALL PEOPLE )"
892,44726,"T53:892 (INDUSTRY - N - Health and social work : Christian )"
893,286,"T53:893 (INDUSTRY - N - Health and social work : Buddhist )"
894,716,"T53:894 (INDUSTRY - N - Health and social work : Hindu )"
895,264,"T53:895 (INDUSTRY - N - Health and social work : Jewish )"
896,515,"T53:896 (INDUSTRY - N - Health and social work : Muslim )"
897,82,"T53:897 (INDUSTRY - N - Health and social work : Sikh )"
898,308,"T53:898 (INDUSTRY - N - Health and social work : Any other religion )"
899,8782,"T53:899 (INDUSTRY - N - Health and social work : No religion )"
900,3566,"T53:900 (INDUSTRY - N - Health and social work : Religion not stated )"
901,28473,"T53:901 (INDUSTRY - O, P, Q - Other : ALL PEOPLE )"
902,20699,"T53:902 (INDUSTRY - O, P, Q - Other : Christian )"
903,64,"T53:903 (INDUSTRY - O, P, Q - Other : Buddhist )"
904,57,"T53:904 (INDUSTRY - O, P, Q - Other : Hindu )"
905,189,"T53:905 (INDUSTRY - O, P, Q - Other : Jewish )"
906,106,"T53:906 (INDUSTRY - O, P, Q - Other : Muslim )"
907,17,"T53:907 (INDUSTRY - O, P, Q - Other : Sikh )"
908,117,"T53:908 (INDUSTRY - O, P, Q - Other : Any other religion )"
909,5327,"T53:909 (INDUSTRY - O, P, Q - Other : No religion )"
910,1897,"T53:910 (INDUSTRY - O, P, Q - Other : Religion not stated )"
911,320368,"T53:911 (INDUSTRY - Not currently working : ALL PEOPLE )"
912,248871,"T53:912 (INDUSTRY - Not currently working : Christian )"
913,852,"T53:913 (INDUSTRY - Not currently working : Buddhist )"
914,1163,"T53:914 (INDUSTRY - Not currently working : Hindu )"
915,1616,"T53:915 (INDUSTRY - Not currently working : Jewish )"
916,2343,"T53:916 (INDUSTRY - Not currently working : Muslim )"
917,311,"T53:917 (INDUSTRY - Not currently working : Sikh )"
918,1103,"T53:918 (INDUSTRY - Not currently working : Any other religion )"
919,41146,"T53:919 (INDUSTRY - Not currently working : No religion )"
920,22963,"T53:920 (INDUSTRY - Not currently working : Religion not stated )"
921,365278,"T53:921 (INDUSTRY - Not aged 16 to 74 : ALL PEOPLE )"
922,267334,"T53:922 (INDUSTRY - Not aged 16 to 74 : Christian )"
923,328,"T53:923 (INDUSTRY - Not aged 16 to 74 : Buddhist )"
924,1105,"T53:924 (INDUSTRY - Not aged 16 to 74 : Hindu )"
925,1394,"T53:925 (INDUSTRY - Not aged 16 to 74 : Jewish )"
926,2142,"T53:926 (INDUSTRY - Not aged 16 to 74 : Muslim )"
927,322,"T53:927 (INDUSTRY - Not aged 16 to 74 : Sikh )"
928,409,"T53:928 (INDUSTRY - Not aged 16 to 74 : Any other religion )"
929,58926,"T53:929 (INDUSTRY - Not aged 16 to 74 : No religion )"
930,33318,"T53:930 (INDUSTRY - Not aged 16 to 74 : Religion not stated )"



